experiment_num,results_dir,model_type,model,normal_label,training_data_feed,scaling_type,ann_layer_units,ann_layer_activations,ann_layer_dropout_rates,epochs,early_stop_patience,batch_size,training_set,dataset_dir,description
#,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#  Deep ANN on NSL-KDD,,,,,,,,,,,,,,,
#1,results_additional_exps/ann_depth_nsl_layers_1,classifier,ann,normal,preload,NA,"16,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_1
#2,results_additional_exps/ann_depth_nsl_layers_2,classifier,ann,normal,preload,NA,"32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_2
#3,results_additional_exps/ann_depth_nsl_layers_3,classifier,ann,normal,preload,NA,"64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_3
#4,results_additional_exps/ann_depth_nsl_layers_4,classifier,ann,normal,preload,NA,"128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_4
#5,results_additional_exps/ann_depth_nsl_layers_5,classifier,ann,normal,preload,NA,"256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_5
#6,results_additional_exps/ann_depth_nsl_layers_6,classifier,ann,normal,preload,NA,"400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_6
#7,results_additional_exps/ann_depth_nsl_layers_7,classifier,ann,normal,preload,NA,"500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_7
#8,results_additional_exps/ann_depth_nsl_layers_8,classifier,ann,normal,preload,NA,"600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_8
